title1,title2,address1,address2,semantic_similarity
Club Thirteen ,Track Seven ,214 S. 13th St. ,1226 Filbert ,0.39944607
Club Thirteen ,Track Seven ,214 S. 13th St. ,1226 Filbert ,0.39944607
Track Seven ,Club Thirteen ,1226 Filbert ,214 S. 13th St. ,0.39944607
Track Seven ,Club Thirteen ,1226 Filbert ,214 S. 13th St. ,0.39944607
Terminal Bar,SK Bar ,Broad & Olney,2 S. Mole St. ,0.39884472
SK Bar ,Terminal Bar,2 S. Mole St. ,Broad & Olney,0.39884448
SK Bar ,Terminal bar,2 S. Mole St. ,Broad & Olner,0.39884448
R.D. Club,Teddy's Bar ,13th & Locust,418 S. 18th St. ,0.39814
R.D. Club,Teddy's bar,13th & Locust,Broad & Olney,0.39814
R.D. Club,Teddy's Bar ,13th & Locust,418 S. 18th St. ,0.39814
Rittenhouse Square,Varsity Room,,Quince & Walnut,0.39442587
Pirate's Den,Peyton Place ,210 S. Camac ,1308 Drury Lane ,0.3936539
Club Thirteen ,Varsity Room,214 S. 13th St. ,Quince & Walnut,0.39363542
Club Thirteen ,Varsity Room,214 S. 13th St. ,Quince & Walnut,0.39363542
Club Thirteen ,Varsity Room,214 S. 13th St. ,Quince & Walnut,0.39363533
Club Thirteen ,Varsity Room,214 S. 13th St. ,Quince & Walnut,0.39363533
Baron's Variety Lounge ,C.R. Club ,1116 Walnut ,6400 Market ,0.3928505
V.I.P. Club,Ritz Bar,,13th near Market,0.39082396
Ritz Bar,V.I.P Club,13th near Market,,0.39082396
Ritz Bar,V.I.P. Club,13th near Market,,0.39082393
Ritz Bar,V.I.P Club,13th near Market,,0.39082393
V.I.P. Club,SK Bar ,,2 S. Mole St. ,0.38978332
V.I.P Club,SK Bar ,,2 S. Mole St. ,0.38978332
Baron's Variety Lounge ,SK Bar ,1116 Walnut ,2 S. Mole St. ,0.38965493
Allegro ,Rendezvous II,1412 Spruce ,1308 Drury Lane ,0.38954255
Rendezvous II,Allegro ,1308 Drury Lane ,1412 Spruce ,0.38954255
